City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,aasiaat,68.7098,-52.8699,-8.02,76,100,6.15,GL,1699622233
119,san sebastian de la gomera,28.0916,-17.1133,27.99,69,0,3.09,ES,1699622234
120,praia da vitoria,38.7333,-27.0667,23.14,78,40,12.53,PT,1699622235
121,haiku-pauwela,20.9219,-156.3051,23.91,74,0,4.47,US,1699622237
122,abu dhabi,24.4667,54.3667,32.06,47,0,3.6,AE,1699621985
123,watsa,3.0372,29.5355,27.06,59,83,1.27,CD,1699622240
124,thompson,55.7435,-97.8558,-9.91,92,75,0.0,CA,1699622242
125,ta`u,-14.2336,-169.5144,27.02,82,18,3.77,AS,1699622243
126,hithadhoo,-0.6,73.0833,27.59,81,86,5.08,MV,1699622244
127,taoudenni,22.6783,-3.9836,31.42,11,0,4.19,ML,1699622246
128,ust'-kulom,61.6864,53.6902,-0.17,88,100,2.38,RU,1699622247
129,fuglafjordur,62.244,-6.814,8.26,82,37,5.97,FO,1699622248
130,punta arenas,-53.15,-70.9167,13.06,47,0,5.66,CL,1699622188
131,iwaki,37.05,140.8833,16.54,94,100,6.66,JP,1699622250
132,akjoujt,19.6969,-14.4164,33.52,12,0,5.39,MR,1699622251
133,sitka,57.0531,-135.33,6.94,70,100,6.69,US,1699622252
134,hamilton,39.1834,-84.5333,9.87,67,0,2.06,US,1699622254
135,rio grande,-32.035,-52.0986,20.06,69,100,7.14,BR,1699622255
136,tazovsky,67.4667,78.7,-1.69,87,100,7.85,RU,1699622256
137,fort mcmurray,56.7268,-111.381,-6.23,86,0,4.12,CA,1699622045
138,tocopilla,-22.092,-70.1979,21.95,62,100,2.74,CL,1699622259
139,taltal,-25.4,-70.4833,20.22,63,90,1.73,CL,1699622260
140,lloydminster,53.2835,-110.0016,-8.88,92,0,6.17,CA,1699622227
141,janikowo,52.7533,18.1133,10.85,77,100,4.22,PL,1699622262
142,invercargill,-46.4,168.35,6.12,89,0,0.45,NZ,1699622001
143,lengshuitan,26.4111,111.5956,14.37,89,100,3.31,CN,1699622263
144,pingzhuang,42.0372,119.2889,-7.39,77,7,1.32,CN,1699622264
145,achinsk,56.2694,90.4993,-7.67,77,4,3.58,RU,1699622265
146,naze,28.3667,129.4833,21.51,75,87,7.22,JP,1699622266
147,key west,24.5557,-81.7826,28.0,80,20,3.6,US,1699622262
148,minas de marcona,-15.2119,-75.1103,16.07,80,60,3.97,PE,1699622268
149,makungu,-8.7333,35.2833,29.71,30,73,5.62,TZ,1699622268
150,baiyin,36.5583,104.2081,3.28,39,78,3.29,CN,1699622269
151,hunstanton,52.95,0.5,10.06,78,66,1.34,GB,1699622270
152,elesbao veloso,-6.2019,-42.1403,34.99,30,0,3.46,BR,1699622271
153,jayapura,-2.5333,140.7,27.66,90,20,3.41,ID,1699622272
154,kununurra,-15.7667,128.7333,27.99,78,40,5.14,AU,1699622272
155,kodiak,57.79,-152.4072,0.73,60,100,2.57,US,1699622273
156,ancud,-41.8697,-73.8203,10.94,74,29,4.45,CL,1699622274
157,wailua homesteads,22.0669,-159.378,24.44,82,0,6.69,US,1699622275
158,'ain el hadjar,34.7585,0.1453,18.63,38,98,8.92,DZ,1699622276
159,novyy turtkul',41.55,61.0167,15.95,31,100,4.87,UZ,1699622277
160,egilsstadir,65.2653,-14.3948,0.95,93,40,0.51,IS,1699622277
161,lihue,21.9789,-159.3672,24.77,77,0,6.69,US,1699622278
162,nyirbator,47.8333,22.1333,11.1,50,100,3.36,HU,1699622279
163,margate,51.3813,1.3862,9.39,86,80,2.24,GB,1699622165
164,eyl,7.9803,49.8164,27.34,74,100,5.29,SO,1699622280
165,lucapa,-8.4192,20.7447,25.21,68,94,1.47,AO,1699622281
166,nova sintra,14.8667,-24.7167,22.4,66,67,3.91,CV,1699622282
167,sola,-13.8833,167.55,26.03,83,100,11.06,VU,1699622283
168,qingshuping,27.3817,112.0221,12.04,92,100,3.81,CN,1699622284
169,kingston,17.997,-76.7936,30.53,78,20,3.6,JM,1699622172
170,utrik,11.2278,169.8474,27.54,83,100,8.18,MH,1699622287
171,rabaul,-4.1967,152.1721,26.8,83,99,2.7,PG,1699622288
